Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
"School enrollment, primary (% gross)",SE.PRM.ENRR,Afghanistan,AFG,44.1333694458008,23.9128494262695,29.0414199829102,42.7514305114746,20.95758,98.09989,100.0717,105.7785
"School enrollment, primary (% gross)",SE.PRM.ENRR,Albania,ALB,107.443969726563,103.677833557129,99.4517517089844,104.043838500977,104.19619,100.67604,93.49047,105.543
"School enrollment, primary (% gross)",SE.PRM.ENRR,Algeria,DZA,94.7681503295898,90.0835876464844,92.5934371948242,97.4424667358398,105.16491,107.5861,115.3376,115.8778
"School enrollment, primary (% gross)",SE.PRM.ENRR,American Samoa,ASM,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Andorra,AND,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Angola,AGO,142.744094848633,73.3791275024414,73.0395889282227,..,..,..,105.781,113.478
"School enrollment, primary (% gross)",SE.PRM.ENRR,Antigua and Barbuda,ATG,..,..,..,112.856391906738,127.596,..,112.293,104.9906
"School enrollment, primary (% gross)",SE.PRM.ENRR,Argentina,ARG,106.895767211914,106.174377441406,106.91242980957,..,115.69413,115.29915,116.9758,111.3034
"School enrollment, primary (% gross)",SE.PRM.ENRR,Armenia,ARM,..,..,..,92.4247512817383,98.66373,95.44106,99.06499,95.00365
"School enrollment, primary (% gross)",SE.PRM.ENRR,Aruba,ABW,..,..,..,..,110.78818,111.37672,113.7943,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Australia,AUS,111.071876525879,104.890129089355,106.371719360352,101.29126739502,100.72193,102.73932,105.6194,101.5999
"School enrollment, primary (% gross)",SE.PRM.ENRR,Austria,AUT,96.2317504882813,96.6067199707031,105.301727294922,102.365043640137,103.67232,100.83262,99.78978,101.9975
"School enrollment, primary (% gross)",SE.PRM.ENRR,Azerbaijan,AZE,..,..,114.629417419434,113.200126647949,97.20749,95.52697,93.7623,106.6015
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Bahamas, The",BHS,100.896728515625,105.446273803711,98.3410110473633,95.9674911499023,..,100.39834,88.92873,86.22971
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bahrain,BHR,109.093353271484,111.100883483887,110.33341217041,107.70295715332,104.96603,95.74598,..,101.2005
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bangladesh,BGD,71.6114120483398,69.8883666992188,83.7970123291016,..,..,101.64781,105.9745,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Barbados,BRB,101.402839660645,108.680458068848,114.466918945313,..,100.65389,96.12875,99.59562,95.91724
"School enrollment, primary (% gross)",SE.PRM.ENRR,Belarus,BLR,104.015319824219,107.780662536621,94.0824508666992,98.2465972900391,113.71677,98.43138,104.3697,99.14978
"School enrollment, primary (% gross)",SE.PRM.ENRR,Belgium,BEL,104.03978729248,98.2752227783203,101.058532714844,101.79541015625,104.83442,100.46234,101.9242,103.1558
"School enrollment, primary (% gross)",SE.PRM.ENRR,Belize,BLZ,109.262001037598,113.810447692871,112.735298156738,119.681602478027,115.91097,113.27096,112.5697,112.8883
"School enrollment, primary (% gross)",SE.PRM.ENRR,Benin,BEN,58.2569313049316,64.3068008422852,51.2549285888672,70.2448501586914,82.52927,100.83883,120.152,132.4668
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bermuda,BMU,93.7216186523438,91.3831024169922,..,100.811630249023,..,97.54098,99.31172,101.1463
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bhutan,BTN,45.4931411743164,59.2260589599609,..,62.5536003112793,76.17701,91.05958,108.2144,104.2338
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bolivia,BOL,99.9671020507813,..,105.712646484375,112.963012695313,118.22122,114.81316,103.4391,95.85796
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Botswana,BWA,91.9439315795898,104.492156982422,111.03426361084,110.423011779785,110.42842,111.14859,..,103.2384
"School enrollment, primary (% gross)",SE.PRM.ENRR,Brazil,BRA,..,..,..,..,..,133.26216,..,112.7733
"School enrollment, primary (% gross)",SE.PRM.ENRR,British Virgin Islands,VGB,..,119.388343811035,118.918922424316,121.979553222656,109.09447,112.32558,..,118.5316
"School enrollment, primary (% gross)",SE.PRM.ENRR,Brunei Darussalam,BRN,105.497360229492,104.424118041992,..,113.86791229248,110.18191,110.6297,106.5422,105.5275
"School enrollment, primary (% gross)",SE.PRM.ENRR,Bulgaria,BGR,101.23397064209,107.075981140137,94.6826782226563,97.5833892822266,103.45403,103.3586,108.331,94.19827
"School enrollment, primary (% gross)",SE.PRM.ENRR,Burkina Faso,BFA,17.2920799255371,25.5690498352051,32.5255012512207,38.8354606628418,45.01737,58.32719,78.01417,88.36616
"School enrollment, primary (% gross)",SE.PRM.ENRR,Burundi,BDI,25.3523597717285,48.7942504882813,68.6155471801758,49.3185615539551,58.00494,80.97311,137.1701,130.9034
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cabo Verde,CPV,114.339958190918,114.793670654297,126.174957275391,..,120.12322,114.22731,111.1122,105.4968
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cambodia,KHM,..,128.938430786133,99.5550689697266,86.1807479858398,106.8595,130.89871,123.8349,117.0785
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cameroon,CMR,95.2775573730469,100.177871704102,98.8777618408203,81.285026550293,85.20452,103.44945,108.1327,116.2104
"School enrollment, primary (% gross)",SE.PRM.ENRR,Canada,CAN,99.7136306762695,103.787063598633,104.281776428223,101.810081481934,100.78877,97.36457,98.6416,102.4851
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cayman Islands,CYM,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Central African Republic,CAF,71.8936614990234,79.8009262084961,72.771728515625,..,..,63.89601,87.33161,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Chad,TCD,..,34.4577217102051,49.456241607666,46.1903381347656,63.6706,71.61457,81.91848,91.58313
"School enrollment, primary (% gross)",SE.PRM.ENRR,Channel Islands,CHI,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Chile,CHL,115.543571472168,104.739440917969,102.629890441895,..,103.01351,104.56108,103.7505,100.6848
"School enrollment, primary (% gross)",SE.PRM.ENRR,China,CHN,109.719367980957,116.695182800293,127.548782348633,111.763816833496,..,..,98.96422,96.3186
"School enrollment, primary (% gross)",SE.PRM.ENRR,Colombia,COL,120.878082275391,109.076477050781,107.510299682617,113.994567871094,119.38394,121.52662,120.3232,115.2319
"School enrollment, primary (% gross)",SE.PRM.ENRR,Comoros,COM,..,108.628898620605,99.0536422729492,..,103.19,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Congo, Dem. Rep.",COD,96.421630859375,94.4133605957031,61.7751083374023,80.6608581542969,..,..,99.99916,107.9771
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Congo, Rep.",COG,128.72477722168,130.858673095703,124.014221191406,119.019470214844,86.47666,108.52121,109.1602,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Costa Rica,CRI,105.6552734375,99.3894882202148,101.311073303223,103.871856689453,109.10442,111.86185,116.8994,111.298
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cote d'Ivoire,CIV,77.3417587280273,74.1764984130859,71.7442016601563,70.5515670776367,73.91165,..,..,90.65904
"School enrollment, primary (% gross)",SE.PRM.ENRR,Croatia,HRV,..,..,..,84.8124923706055,95.04631,103.34599,91.94395,100.5792
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cuba,CUB,110.533111572266,100.873413085938,99.1018371582031,100.87181854248,102.63977,101.11218,101.4598,99.48758
"School enrollment, primary (% gross)",SE.PRM.ENRR,Curacao,CUW,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Cyprus,CYP,74.8985595703125,71.8776092529297,82.3722915649414,99.8845367431641,96.73135,100.85795,101.6243,99.30012
"School enrollment, primary (% gross)",SE.PRM.ENRR,Czech Republic,CZE,..,97.977180480957,93.1996536254883,104.585716247559,103.33581,99.2147,103.8044,99.51668
"School enrollment, primary (% gross)",SE.PRM.ENRR,Denmark,DNK,97.3511123657227,98.7772598266602,97.6850814819336,100.402992248535,101.42744,98.73159,99.58201,101.4564
"School enrollment, primary (% gross)",SE.PRM.ENRR,Djibouti,DJI,26.6141204833984,32.1028594970703,33.2979583740234,33.6600914001465,32.49772,43.61315,..,70.13204
"School enrollment, primary (% gross)",SE.PRM.ENRR,Dominica,DMA,103.379501342773,..,106.540168762207,138.590713500977,114.04494,91.47369,102.7395,116.1912
"School enrollment, primary (% gross)",SE.PRM.ENRR,Dominican Republic,DOM,112.529159545898,120.634803771973,..,99.2104797363281,115.84567,108.37692,110.5022,111.4054
"School enrollment, primary (% gross)",SE.PRM.ENRR,Ecuador,ECU,113.028388977051,121.874847412109,122.89900970459,109.581199645996,111.4111,109.87432,113.0803,107.6838
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Egypt, Arab Rep.",EGY,69.3375701904297,80.5362777709961,91.0153274536133,88.3123474121094,93.82132,95.70667,102.2853,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,El Salvador,SLV,92.6155471801758,..,..,103.57154083252,112.13527,118.20685,114.973,102.6576
"School enrollment, primary (% gross)",SE.PRM.ENRR,Equatorial Guinea,GNQ,..,..,..,..,103.11262,90.01092,69.38205,61.77515
"School enrollment, primary (% gross)",SE.PRM.ENRR,Eritrea,ERI,..,..,32.1527900695801,63.0730094909668,80.25584,112.46723,83.67567,76.161
"School enrollment, primary (% gross)",SE.PRM.ENRR,Estonia,EST,..,103.261711120605,93.5215530395508,91.7392120361328,102.96704,98.90731,103.0321,97.14641
"School enrollment, primary (% gross)",SE.PRM.ENRR,Eswatini,SWZ,90.0503234863281,91.8780517578125,91.6364822387695,101.948760986328,106.3866,111.77379,124.9072,119.2154
"School enrollment, primary (% gross)",SE.PRM.ENRR,Ethiopia,ETH,33.9181518554688,37.5520515441895,35.2561683654785,29.2249202728271,54.71842,79.05261,91.65653,100.9715
"School enrollment, primary (% gross)",SE.PRM.ENRR,Faroe Islands,FRO,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Fiji,FJI,105.432060241699,102.085113525391,..,106.944137573242,101.58609,..,..,106.7165
"School enrollment, primary (% gross)",SE.PRM.ENRR,Finland,FIN,97.1537475585938,102.637199401855,98.4718017578125,98.9689331054688,101.2672,98.41798,99.48232,100.5608
"School enrollment, primary (% gross)",SE.PRM.ENRR,France,FRA,110.418968200684,106.12523651123,111.446891784668,105.26587677002,100.42826,104.63649,102.7615,101.9896
"School enrollment, primary (% gross)",SE.PRM.ENRR,French Polynesia,PYF,..,..,..,..,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Gabon,GAB,143.99006652832,147.048965454102,..,145.433883666992,..,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,"Gambia, The",GMB,42.1946411132813,65.9926071166992,58.6482582092285,66.2069320678711,80.24207,79.64805,79.78491,90.04513
"School enrollment, primary (% gross)",SE.PRM.ENRR,Georgia,GEO,..,..,..,91.5906829833984,118.17465,100.78009,103.3403,102.7535
"School enrollment, primary (% gross)",SE.PRM.ENRR,Germany,DEU,..,..,..,101.376121520996,105.31711,103.10638,102.9959,101.6674
"School enrollment, primary (% gross)",SE.PRM.ENRR,Ghana,GHA,70.8418884277344,72.6655883789063,71.3804779052734,78.4118728637695,82.87209,86.54676,..,108.3379
"School enrollment, primary (% gross)",SE.PRM.ENRR,Gibraltar,GIB,69.8191223144531,75.3661804199219,..,..,88.78049,..,..,..
"School enrollment, primary (% gross)",SE.PRM.ENRR,Greece,GRC,98.0526733398438,99.1919937133789,94.6740417480469,92.4461364746094,97.60522,97.83578,98.51425,99.5263
