Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1965 [YR1965],1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,8996973,9956320,11173642,12689160,13356511,11938208,12412308,18110657,20779953,25654277,29185507,34413603
"Population, total",SP.POP.TOTL,Albania,ALB,1608800,1864791,2135479,2404831,2671997,2964762,3286542,3187784,3089027,3011487,2913021,2880703
"Population, total",SP.POP.TOTL,Algeria,DZA,11057863,12550885,14464985,16607707,19221665,22431502,25758869,28757785,31042235,33149724,35977455,39728025
"Population, total",SP.POP.TOTL,American Samoa,ASM,20123,23672,27363,30052,32646,39519,47347,53161,57821,59562,56079,55812
"Population, total",SP.POP.TOTL,Andorra,AND,13411,18549,24276,30705,36067,44600,54509,63850,65390,78867,84449,78011
"Population, total",SP.POP.TOTL,Angola,AGO,5454933,5770570,5890365,7024000,8341289,9961997,11848386,13945206,16395473,19433602,23356246,27884381
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,54131,58698,64177,62675,61865,61786,62528,68670,76016,81465,88028,93566
"Population, total",SP.POP.TOTL,Argentina,ARG,20481779,22159650,23880561,25865776,27896528,30216279,32618651,34828170,36870787,38892931,40788453,43131966
"Population, total",SP.POP.TOTL,Armenia,ARM,1874121,2211319,2525068,2832759,3099754,3335940,3538171,3217348,3069591,2981269,2877319,2925553
"Population, total",SP.POP.TOTL,Aruba,ABW,54211,57360,59063,60657,60096,63026,62149,80324,90853,100031,101669,104341
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,11388000,12507000,13893000,14692000,15758000,17065100,18072000,19153000,20394800,22031750,23815995
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,7270889,7467086,7578903,7549433,7564985,7677850,7948278,8011566,8227829,8363404,8642699
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3895397,4592609,5180023,5674133,6150733,6666447,7159000,7685000,8048600,8391850,9054332,9649341
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,109534,140059,169377,188896,210591,234578,256223,280184,298051,324859,354942,374206
"Population, total",SP.POP.TOTL,Bahrain,BHR,162427,187431,212605,266543,359888,419428,495931,563697,664611,889164,1240860,1371851
"Population, total",SP.POP.TOTL,Bangladesh,BGD,48013504,55385112,64232482,70066301,79639491,90764183,103171956,115169930,127657854,139035505,147575430,156256276
"Population, total",SP.POP.TOTL,Barbados,BRB,230980,235413,238896,246154,252394,256263,260936,265955,271515,276323,282131,285324
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,8610000,9040000,9367000,9643000,9975000,10189000,10194000,9979610,9663915,9490583,9489616
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,9463667,9655549,9800700,9859242,9858308,9967379,10136811,10251250,10478617,10895586,11274196
"Population, total",SP.POP.TOTL,Belize,BLZ,92064,106119,122182,133260,144155,164921,187552,206963,247315,283800,322464,360933
"Population, total",SP.POP.TOTL,Benin,BEN,2431622,2632356,2912340,3265165,3717165,4278501,4978496,5905558,6865951,7982225,9199259,10575952
"Population, total",SP.POP.TOTL,Bermuda,BMU,44400,50100,55000,53000,54670,56898,59326,59746,61833,64154,65124,65239
"Population, total",SP.POP.TOTL,Bhutan,BTN,223288,253994,297316,348396,406875,464266,530804,534620,591021,648739,685503,727876
"Population, total",SP.POP.TOTL,Bolivia,BOL,3656955,4038872,4484004,5001419,5579935,6179460,6864842,7622338,8418264,9232306,10048590,10869730
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3225668,3535643,3760529,3985105,4179855,4392131,4463423,3829050,3751176,3765331,3705472,3429361
"Population, total",SP.POP.TOTL,Botswana,BWA,502745,559994,627715,741355,897868,1069582,1286756,1469174,1643334,1799078,1987105,2120716
"Population, total",SP.POP.TOTL,Brazil,BRA,72179226,83373530,95113265,107216205,120694009,135274080,149003223,162019896,174790340,186127103,195713635,204471769
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,8048,8830,9827,10699,11478,13956,17489,19313,20311,23107,27794,29152
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,81702,102386,129529,161626,193879,224449,258721,297114,333165,365114,388646,414907
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,8204168,8489574,8720742,8861535,8960547,8718289,8406067,8170172,7658972,7395599,7177991
