Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
"Population ages 15-64, total",SP.POP.1564.TO,Afghanistan,AFG,6863310,5991146,6139033,9021451,10143668,12804786,14444994,18116800
"Population ages 15-64, total",SP.POP.1564.TO,Albania,ALB,1568997,1795407,2028794,1938980,1933983,1957418,1948797,1979179
"Population ages 15-64, total",SP.POP.1564.TO,Algeria,DZA,9655388,11490680,13727365,16285293,19038163,21841621,24198801,25993588
"Population ages 15-64, total",SP.POP.1564.TO,American Samoa,ASM,..,..,..,..,..,..,..,..
"Population ages 15-64, total",SP.POP.1564.TO,Andorra,AND,..,..,..,..,..,..,..,..
"Population ages 15-64, total",SP.POP.1564.TO,Angola,AGO,4281383,4985786,5920693,6955652,8235985,9831386,11817707,14113726
"Population ages 15-64, total",SP.POP.1564.TO,Antigua and Barbuda,ATG,34982,36459,38300,43183,49204,54184,60125,64812
"Population ages 15-64, total",SP.POP.1564.TO,Argentina,ARG,17146951,18288501,19666305,21239330,22789527,24435888,26010395,27630346
"Population ages 15-64, total",SP.POP.1564.TO,Armenia,ARM,1976723,2158506,2275895,2006378,1969853,1986674,2001045,2019877
"Population ages 15-64, total",SP.POP.1564.TO,Aruba,ABW,40045,42955,42135,55960,62907,69957,69987,72162
"Population ages 15-64, total",SP.POP.1564.TO,Australia,AUS,9560902,10421810,11408332,12030999,12793036,13728581,14891504,15780014
"Population ages 15-64, total",SP.POP.1564.TO,Austria,AUT,4853035,5124859,5232317,5332719,5430475,5581012,5644039,5794026
"Population ages 15-64, total",SP.POP.1564.TO,Azerbaijan,AZE,3692226,4192283,4449764,4693519,5070809,5638033,6452695,6888625
"Population ages 15-64, total",SP.POP.1564.TO,"Bahamas, The",BHS,124065,142746,162172,179265,194653,214764,237820,259391
"Population ages 15-64, total",SP.POP.1564.TO,Bahrain,BHR,228037,267641,322987,379667,447988,640868,963015,1053939
"Population ages 15-64, total",SP.POP.1564.TO,Bangladesh,BGD,41573158,48337554,56500225,65491118,75559249,85272649,93328524,102533145
"Population ages 15-64, total",SP.POP.1564.TO,Barbados,BRB,150543,160818,171407,176108,179520,185099,189045,191258
"Population ages 15-64, total",SP.POP.1564.TO,Belarus,BLR,6408861,6702415,6765297,6718400,6785673,6733534,6751613,6587087
"Population ages 15-64, total",SP.POP.1564.TO,Belgium,BEL,6449247,6662463,6686359,6708725,6721509,6869664,7167469,7311715
"Population ages 15-64, total",SP.POP.1564.TO,Belize,BLZ,70573,84176,98296,109314,136891,163529,194473,229122
"Population ages 15-64, total",SP.POP.1564.TO,Benin,BEN,1894390,2163739,2512096,3020546,3543101,4183119,4868625,5683008
"Population ages 15-64, total",SP.POP.1564.TO,Bermuda,BMU,..,..,..,..,..,..,..,..
"Population ages 15-64, total",SP.POP.1564.TO,Bhutan,BTN,219137,248091,285221,287158,332571,392572,436574,486789
"Population ages 15-64, total",SP.POP.1564.TO,Bolivia,BOL,3072286,3412509,3817322,4289719,4799728,5360661,5968191,6613025
"Population ages 15-64, total",SP.POP.1564.TO,Bosnia and Herzegovina,BIH,2736541,2999675,3091144,2633067,2562531,2589863,2605070,2410082
"Population ages 15-64, total",SP.POP.1564.TO,Botswana,BWA,431988,524466,665880,802032,954620,1085432,1226337,1298871
"Population ages 15-64, total",SP.POP.1564.TO,Brazil,BRA,69977715,80160578,90265519,101244089,113286230,124021697,133781680,142243105
"Population ages 15-64, total",SP.POP.1564.TO,British Virgin Islands,VGB,..,..,..,..,..,..,..,..
"Population ages 15-64, total",SP.POP.1564.TO,Brunei Darussalam,BRN,112944,132562,162334,190773,223137,252717,274583,298058
"Population ages 15-64, total",SP.POP.1564.TO,Bulgaria,BGR,5848861,6005533,5798240,5630672,5534912,5287209,5060439,4716474
"Population ages 15-64, total",SP.POP.1564.TO,Burkina Faso,BFA,3496159,3865225,4358278,5028185,5857980,6836894,8006839,9420818
"Population ages 15-64, total",SP.POP.1564.TO,Burundi,BDI,2169188,2416148,2683125,2822824,3025484,3737360,4571940,5322176
"Population ages 15-64, total",SP.POP.1564.TO,Cabo Verde,CPV,135495,156514,167842,192482,222755,262487,307224,343963
"Population ages 15-64, total",SP.POP.1564.TO,Cambodia,KHM,3763364,4224415,4740441,5380462,6725344,7903891,9008112,9976968
"Population ages 15-64, total",SP.POP.1564.TO,Cameroon,CMR,4453243,5099774,5907961,6866560,8029079,9364911,10875579,12593699
"Population ages 15-64, total",SP.POP.1564.TO,Canada,CAN,16625666,17692326,18845226,19828337,20949562,22314773,23585034,24261870
"Population ages 15-64, total",SP.POP.1564.TO,Cayman Islands,CYM,..,..,..,..,..,..,..,..
"Population ages 15-64, total",SP.POP.1564.TO,Central African Republic,CAF,1174284,1362788,1466966,1700921,1936476,2148978,2321454,2334839
"Population ages 15-64, total",SP.POP.1564.TO,Chad,TCD,2321307,2553437,2939162,3413766,4033168,4862357,5818146,7015783
"Population ages 15-64, total",SP.POP.1564.TO,Channel Islands,CHI,85534,91877,97455,98369,101578,104270,110336,112517
