Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1965 [YR1965],1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Afghanistan,AFG,55.0608410184181,54.3093030356598,53.0431438558708,52.098050619584,51.3855003001907,50.184634075734,49.4592383624383,49.8129416287879,48.8146821121299,49.9128702789013,49.4937230317774,52.6442988256708
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Albania,ALB,54.4334358134332,53.0089322112826,53.8947425195529,56.0080887926188,58.7200161032397,60.5582030608094,61.7303389182164,60.8253108962086,62.608145164821,64.9983964027588,66.8995119780273,68.7047247322534
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Algeria,DZA,52.1785628923057,49.2947947495336,49.5917347995867,49.6097444397351,50.2317983379692,51.2256379443517,53.2918001951095,56.6291631987651,61.3298720275779,65.8877914036328,67.2610138766069,65.4288452547037
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Angola,AGO,54.8609854603164,52.4732912000028,52.0805586750566,51.1540148063781,51.327594572014,50.0480576334243,49.9704601116135,49.878445682337,50.2332869567105,50.5896230662746,50.5976302869905,50.6151669639
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Antigua and Barbuda,ATG,52.7793685688423,52.0460663054959,51.4109416145971,54.0039888312724,56.5457043562596,59.00851325543,61.2525588536336,62.8848114169215,64.7284782151126,66.5119990179832,68.3021311400918,69.2687514695509
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,63.4179970401985,63.5856477877584,63.6156663153768,63.0181518621363,61.4662548687063,60.5253247760917,60.2915951367823,60.9831926282661,61.8091688685679,62.8286101656879,63.7690168895782,64.0600197569769
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Armenia,ARM,54.9970893021315,52.6938899362778,55.1051298420478,59.9321368319719,63.770318547859,64.7045810176442,64.3240533032462,62.3612366458338,64.1731422850797,66.6385354692918,69.5454692371614,69.0425707549991
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Aruba,ABW,53.6699193890539,55.6311018131102,58.6797148807206,62.5665628039633,66.6350505857295,68.1544124646971,67.7967465285041,69.6678452268313,69.2404213399668,69.9353200507843,68.8380922405059,69.1597742018957
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Australia,AUS,61.2080988268394,61.7606166958141,62.6003417172189,63.6807928506251,65.0755651491716,66.1366310038718,66.8518331046956,66.5725934323396,66.7939029976204,67.3141218343844,67.5911079551186,66.2580494091257
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Austria,AUT,65.6154934274448,63.5021172711117,61.4445070200668,61.9680769929229,64.2834352551831,67.7444704228622,68.1482101966235,67.0927636765451,67.7829460784338,67.8309232884845,67.4849514545213,67.0395429709195
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Azerbaijan,AZE,55.0843469869695,50.6941261492106,50.9930747411739,54.7070539234805,60.0290404411962,62.8863171041486,62.1562274386798,61.0737626655472,63.0023781381187,67.1846279339541,71.2663802257214,71.3895878982556
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Bahamas, The",BHS,53.820731462377,53.2668375470338,54.4519031509591,55.9593638827715,58.9127740501731,60.8522538345454,63.2933030992534,63.9811695171744,65.3086216788402,66.1099123004134,67.0024961824749,69.3177020143985
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bahrain,BHR,55.7154906511848,51.2892744529987,52.6981961854143,58.0765580037742,63.3633241452896,63.8109520585178,65.1274068368382,67.3530283113091,67.40604654452,72.0753426814401,77.6086746288864,76.826054724602
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bangladesh,BGD,55.253197100549,53.9576122911876,52.4471777378928,51.9938079791025,52.2016872257509,53.2561990890173,54.7631616095366,56.8647719070421,59.1888760718162,61.3315634736609,63.2412346689419,65.6185771379833
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Barbados,BRB,55.084422893757,53.7408724242077,54.6087000200924,58.5405884121322,59.6460296203555,62.7550602310907,65.6892877947083,66.2172171983982,66.1178940390034,66.9864614961476,67.0061070920955,67.0318655283117
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belarus,BLR,62.7499282758726,61.3789164517721,62.4467215763144,64.7713297810312,66.4612819828781,67.1921295101658,66.3980497154308,65.9054311300856,67.9953730041801,69.6770830805991,71.1401343485015,69.4136283541907
